"","Accumbens.Area","Amygdala","Caudate","Cerebellum.Exterior","Cerebellum.White.Matter","Cerebral.White.Matter","Hippocampus","Inf.Lat.Vent","Lateral.Ventricle","Pallidum","Putamen","Thalamus.Proper","Ventral.DC","Basal.Forebrain","ACgG.anterior.cingulate.gyrus","AIns.anterior.insula","AOrG.anterior.orbital.gyrus","AnG.angular.gyrus","Calc.calcarine.cortex","CO.central.operculum","Cun.cuneus","Ent.entorhinal.area","FO.frontal.operculum","FRP.frontal.pole","FuG.fusiform.gyrus","GRe.gyrus.rectus","IOG.inferior.occipital.gyrus","ITG.inferior.temporal.gyrus","LiG.lingual.gyrus","LOrG.lateral.orbital.gyrus","MCgG.middle.cingulate.gyrus","MFC.medial.frontal.cortex","MFG.middle.frontal.gyrus","MOG.middle.occipital.gyrus","MOrG.medial.orbital.gyrus","MPoG.postcentral.gyrus.medial.segment","MPrG.precentral.gyrus.medial.segment","MSFG.superior.frontal.gyrus.medial.segment","MTG.middle.temporal.gyrus","OCP.occipital.pole","OFuG.occipital.fusiform.gyrus","OpIFG.opercular.part.of.the.inferior.frontal.gyrus","OrIFG.orbital.part.of.the.inferior.frontal.gyrus","PCgG.posterior.cingulate.gyrus","PCu.precuneus","PHG.parahippocampal.gyrus","PIns.posterior.insula","PO.parietal.operculum","PoG.postcentral.gyrus","POrG.posterior.orbital.gyrus","PP.planum.polare","PrG.precentral.gyrus","PT.planum.temporale","SCA.subcallosal.area","SFG.superior.frontal.gyrus","SMC.supplementary.motor.cortex","SMG.supramarginal.gyrus","SOG.superior.occipital.gyrus","SPL.superior.parietal.lobule","STG.superior.temporal.gyrus","TMP.temporal.pole","TrIFG.triangular.part.of.the.inferior.frontal.gyrus","TTG.transverse.temporal.gyrus"
"1002",0.783932377821247,0.843396643396643,0.914757656639077,0.959519893568978,0.925405417312723,0.943989276737714,0.891728464830368,0.657218388601367,0.935663140995274,0.891488205372464,0.930249448261704,0.929879707624337,0.913126104354725,0.642155162446526,0.837000720635771,0.899782151214168,0.734888752530792,0.835117497153876,0.78783405314175,0.757236714370687,0.769352602195151,0.832122921973666,0.778040407104626,0.794979899851894,0.772687374175162,0.769172074078276,0.716395446391942,0.798532801892948,0.737201349110642,0.713648088922266,0.82107891130778,0.774307621068209,0.867419825777153,0.691809904585644,0.8157306844043,0.420488725931455,0.764818301979742,0.857996104485765,0.842482603474498,0.718169701896099,0.597218485540822,0.701848268595442,0.647620201924861,0.81124293026518,0.858091658980636,0.81834484543729,0.852292119077339,0.636311732171047,0.865048214357739,0.795936627121805,0.815757689945942,0.861263311064515,0.748287559020571,0.529593771413918,0.853985609794986,0.760313815144764,0.782294933477284,0.563877626958503,0.865742921678929,0.805561905191756,0.925917471692316,0.801802047674958,0.742909981254475
"1006",0.813700236034618,0.808876773429515,0.927489689198109,0.960276563230392,0.917963695455238,0.947679979101966,0.872735312663109,0.617972415078685,0.959680544011011,0.914255886432303,0.936100198081159,0.935011942999105,0.903842734456337,0.668410859266964,0.812168895353033,0.909522724549031,0.564890227125972,0.729057001693143,0.833462655629498,0.760260809166445,0.718722136841046,0.778437493664494,0.784922084386366,0.753896817265776,0.819981608629875,0.644565702910689,0.791221980075031,0.811826258487276,0.794837698458269,0.692040497471962,0.825130826554348,0.590369106674336,0.898026075097777,0.712423058610544,0.822396653264855,0.538518490780456,0.745964813264187,0.834477438504361,0.771360054143843,0.739748818987579,0.568504116172513,0.787581032441733,0.672984815314792,0.809169190107655,0.814421012947018,0.772257753385596,0.888413231158135,0.726392409903986,0.815162519289747,0.80381004183069,0.796922480564618,0.893961742248059,0.775811996584912,0.616834563960258,0.884740738285474,0.802754646539695,0.779058462821597,0.67279710814857,0.816209037297844,0.772099041847816,0.747565781331424,0.759878669120934,0.81031795584125
"1007",0.801093274941319,0.845312544869665,0.920626450424986,0.959814937574244,0.924159566217518,0.940826901161721,0.888191220710856,0.596194186394966,0.887700718485161,0.891527823113661,0.932207000167333,0.929585410058038,0.901920947245583,0.649054306167009,0.871108011523889,0.885162062742095,0.741150563002518,0.804219909149245,0.828007006192751,0.844173191332832,0.766510727718816,0.849382190650806,0.780016103221024,0.735225875281629,0.764563224849413,0.777441358233602,0.731021531287921,0.75266735167563,0.783855450441033,0.69413826068357,0.864146099709771,0.759544087601295,0.894595493472073,0.708900485733983,0.819714421230941,0.549737569963891,0.76111496611272,0.855771551382916,0.823514242833693,0.801776465939783,0.588449095866173,0.837783363816048,0.677695469234937,0.810174499234799,0.790112507689884,0.830094946255647,0.858418613869187,0.76927866803341,0.841580230322056,0.841564989647372,0.751102656902993,0.872164063639024,0.793762451427106,0.821869361241429,0.860496525563933,0.835806443067269,0.808311886805944,0.568458543241007,0.835726530791276,0.80258681528689,0.924833427054402,0.76974692035654,0.768568086326695
"1008",0.867159599155148,0.855098332510897,0.941116633698514,0.95701141092408,0.894744026662097,0.948085891211397,0.90100928276185,0.668361698621616,0.938211600645725,0.908777973927601,0.942928486244974,0.935222416856921,0.899925492370939,0.57759361082335,0.877905424952734,0.899717358291265,0.743613030195755,0.568083828942852,0.84233944794932,0.783652289498349,0.776777899699072,0.791195390923229,0.772455064315529,0.814358488466825,0.861970123963141,0.804932346341092,0.778764930407136,0.818721407861892,0.776608653659837,0.775399681027684,0.828863053898358,0.793603095712903,0.887954089574026,0.669732895929267,0.835832758621153,0.594196671643835,0.628522569462315,0.864670888720222,0.829608215113678,0.793358844441295,0.675181576888191,0.816935800561205,0.658681517312744,0.818859713059575,0.829119690989184,0.827609851072845,0.879329963506131,0.614414819952868,0.82995611969216,0.826195484668387,0.844817785362581,0.876612952213185,0.564072564276799,0.782972250894835,0.875436304928551,0.763871695539088,0.706684734901694,0.653810358001638,0.777521545258783,0.816067917169395,0.909906819109161,0.740933625166607,0.851085920261922
"1009",0.832944167704442,0.838861985971385,0.929558364091347,0.964012845632886,0.934244367829598,0.946955350317637,0.874064076727321,0.619583615953852,0.923380065457955,0.919999082217973,0.943420222958948,0.924603847086039,0.91590728299846,0.635313531353135,0.828661488140505,0.900975444975282,0.560802426301288,0.697400804672579,0.752030898692841,0.829063054852394,0.733014163074474,0.779776076981329,0.748670436987681,0.655700765278316,0.732492947928678,0.739518744263866,0.730695732488512,0.811535576315423,0.817153431127753,0.724466160272875,0.876440047930122,0.503223409364833,0.828730775132412,0.776939700769318,0.773917802414587,0.706328649081897,0.765242656447146,0.806255431976021,0.85819359081548,0.743830826829114,0.716302703619882,0.704507976870513,0.712313663140816,0.817398286801217,0.852559912337543,0.83984211389515,0.870155419918854,0.595711796898294,0.865942921214135,0.740965658871139,0.824531548150877,0.875847690470703,0.679563996334019,0.752995800269715,0.771228197014164,0.84000910027638,0.639491857507336,0.772678617288789,0.830575201980628,0.794628422994699,0.892577395268449,0.782382941009717,0.801407009141369
"1010",0.828664057479993,0.867323152892485,0.911640182598275,0.961073285463657,0.921940551847907,0.952354463076252,0.883992014975241,0.547039473684211,0.888276194607304,0.905955245310786,0.942608088677484,0.932302525043025,0.906520871793516,0.657940618209614,0.797517265300104,0.889054386315215,0.557077253003812,0.746746229433736,0.86505656920192,0.814529985029734,0.80483546208005,0.767613057624035,0.775485328376121,0.708649406780421,0.827203242809456,0.819996798941938,0.777719659461847,0.825729142666962,0.794140367053279,0.731401508523487,0.866782743657691,0.730584722081324,0.881284876602505,0.70210512818517,0.793499399225326,0.643345244699322,0.725515791948376,0.80910171282203,0.834524971633803,0.861317811232972,0.549848437807896,0.770395592723787,0.781438643097554,0.792590706350322,0.840882936087526,0.789125384297359,0.880016445282589,0.735200224878949,0.851072501324803,0.813314212588807,0.840869597902047,0.890750047661441,0.764622496105842,0.831152912669098,0.864649964176751,0.841543226050876,0.726509041316625,0.665937024083692,0.825412112507414,0.864952915288525,0.914511815208298,0.821256609310847,0.825155710328152
"1011",0.831149168711626,0.814878883491938,0.93162789858025,0.959762777778261,0.91578988500021,0.942084025434755,0.89641716449255,0.592296391667492,0.939470972050299,0.895853902545131,0.940307260256451,0.933236829378271,0.919182087865757,0.524716309817049,0.797611568545888,0.887683085300638,0.780271600060209,0.745154945300336,0.785795003827152,0.846814424709714,0.658782164691787,0.829617977080616,0.778249513516278,0.825364425019167,0.815857646940741,0.747041081149889,0.746689825725947,0.82342158873237,0.834579680671907,0.785825013314673,0.858432999506773,0.584813232396462,0.867580235000888,0.703426134845673,0.825389492748725,0.459549259606379,0.691195179297787,0.800692781788372,0.840518289882378,0.842516282972202,0.681341018997025,0.801296951995294,0.769204457996279,0.844515132291336,0.815092747982637,0.838095401279344,0.856784376078048,0.811973129494187,0.799831811002217,0.800760864057586,0.838941264677181,0.870137675604548,0.758773849696582,0.755498565744686,0.892437788491255,0.847504393554443,0.795476858403762,0.67909415592623,0.732790898135328,0.824406344107329,0.92510092696739,0.717801480684972,0.823635505193579
"1012",0.828281923926869,0.793660534367424,0.900862738663892,0.959572827588647,0.92546798053954,0.945464317716101,0.893022397852964,0.637110654599967,0.861345152824833,0.89452330921309,0.928678865200604,0.9400902141767,0.911855458653638,0.689094378998819,0.87027506735819,0.895900556580811,0.683989358762786,0.655472259398953,0.82757280385641,0.806488959197704,0.727015036772381,0.725452093043548,0.662596675246379,0.674238919603945,0.859371868281572,0.799129794975668,0.664069243083094,0.837287855149704,0.812886814606696,0.764200318071007,0.8687740386588,0.673284491725612,0.896122178179329,0.579795750171583,0.811953088525439,0.706484085266953,0.775120026810929,0.873589369354187,0.877389792212708,0.833710609048181,0.654157269733822,0.82708070205382,0.800449403757881,0.836179158278898,0.817078560684947,0.832260692705718,0.834642346552615,0.781256032421048,0.823320281728959,0.807803622636354,0.799055810353614,0.87670347845042,0.742095513047394,0.851107440039158,0.886382467411057,0.822190137602953,0.79737361907031,0.742074228777836,0.760896405436582,0.858278490329652,0.905256127401963,0.8177111215899,0.765830686249464
"1013",0.859847987158028,0.85224399494311,0.941298216652527,0.958136068572146,0.914352362738249,0.949296755904599,0.905957355163012,0.652061530702307,0.964824324186045,0.88345884489225,0.936185028419369,0.934069132314797,0.904975162722246,0.697883225109797,0.889730294792429,0.893799636050289,0.557438775671006,0.706035942698141,0.711954750010728,0.779288888194289,0.722174850950959,0.859370375983669,0.836196942847642,0.862678415086455,0.826395620838734,0.698615225724382,0.64840250526132,0.825513716715163,0.767458166028536,0.694692553837774,0.867319171956792,0.599806833575837,0.871698686195119,0.653878634416431,0.811038040221871,0.446575700921708,0.728826941125956,0.8526397493496,0.813369717745801,0.72421568875081,0.569211447042355,0.850289196536248,0.734693124460992,0.816433815450221,0.815740614887908,0.846707352260091,0.841524722120339,0.581455674061998,0.80211417764102,0.850553613390532,0.762301175383705,0.898618677099119,0.742657043949806,0.724444117148238,0.860825979247918,0.83823858846746,0.647509590890695,0.654765179540132,0.813077902727968,0.829205323303902,0.848304197436054,0.854513343318973,0.689163374688478
"1014",0.842654631488956,0.861641700872629,0.942861391788284,0.960940268918403,0.924080424836334,0.947494875457687,0.884930446771025,0.657231313578063,0.950217687677464,0.911201235069289,0.939167797324855,0.937791785978883,0.915471339872301,0.677087373337339,0.852108685634828,0.882363606014872,0.5692245422363,0.838025019549762,0.780732876595138,0.783470343148881,0.729183393348359,0.756814928996418,0.774794047777823,0.77696404084551,0.802393358834091,0.740563473305175,0.764266336427997,0.779735952816692,0.820536736733251,0.676254038962261,0.897453831136581,0.578900701029303,0.828968666448325,0.798156565940331,0.81426567404715,0.792385713476966,0.85508592767516,0.842778701431895,0.788190939682158,0.758598244654813,0.574170507146153,0.72950138261204,0.74830781180648,0.813185220183481,0.824717414803115,0.837876376970679,0.863819511167668,0.7218275505683,0.84300550559724,0.76726149471529,0.662169688248642,0.875247021469039,0.625800854613756,0.792906088229133,0.757743001308248,0.857923391522728,0.774247946951475,0.685313178913675,0.860968700073727,0.856261316739141,0.883757979797022,0.64972090534966,0.498353576138017
